classifier_name,dataset_name,accuracy
OS-CNN,60,79.94
OS-CNN,61,92.03
OS-CNN,62,72.08
OS-CNN,63,97.95
OS-CNN,64,95.38
OS-CNN,65,97.5
OS-CNN,66,98.19
OS-CNN,67,97.12
OS-CNN,68,96.12
OS-CNN,69,95.39
OS-CNN,70,94.62
OS-CNN,71,100
OS-CNN,72,99.92
OS-CNN,73,100
OS-CNN,74,94.25
OS-CNN,75,82.18
OS-CNN,76,75.72
OS-CNN,77,76.36
OS-CNN,78,74.44
OS-CNN,79,74.23
OS-CNN,80,76.49
OS-CNN,81,65.71
OS-CNN,82,99.93
OS-CNN,83,99.84
OS-CNN,84,91.06
DSN,0,83.16
DSN,1,85.06
DSN,2,86.4
DSN,3,82.67
DSN,4,95
DSN,5,91
DSN,6,90.67
DSN,7,86.33
DSN,8,99.2
DSN,9,98.78
DSN,10,100
DSN,11,79.84
DSN,12,77.28
DSN,13,80.51
DSN,14,77.13
DSN,15,96.99
DSN,16,84.2
DSN,17,81.13
DSN,18,79.4
DSN,19,81.06
DSN,20,80.4
DSN,21,94.32
DSN,22,98.51
DSN,23,73.02
DSN,24,96.59
DSN,25,76.91
DSN,26,96.62
DSN,27,97.71
DSN,28,94.64
DSN,29,93.62
DSN,30,98.93
DSN,31,72.76
DSN,32,87.9
DSN,33,56.43
DSN,34,63.44
DSN,35,52.73
DSN,36,57.49
DSN,37,96.05
DSN,38,89.92
DSN,39,74.43
DSN,40,78.63
DSN,41,92.71
DSN,42,92.33
DSN,43,74.39
DSN,44,78.65
DSN,45,81.33
DSN,46,61.45
DSN,47,90.73
DSN,48,94.36
DSN,49,94.72
DSN,50,94
DSN,51,98.84
DSN,52,83.87
DSN,53,33.7
DSN,54,100
DSN,55,86.05
DSN,56,93.2
DSN,57,81.95
DSN,58,55.84
DSN,59,63.95
DSN,60,72.67
DSN,61,92.5
DSN,62,81.76
DSN,63,89.32
DSN,64,97.46
DSN,65,98.2
DSN,66,97.72
DSN,67,97.79
DSN,68,97.43
DSN,69,97.28
DSN,70,95.54
DSN,71,100
DSN,72,99.7
DSN,73,98.5
DSN,74,90.99
DSN,75,84.06
DSN,76,77.1
DSN,77,77.98
DSN,78,80
DSN,79,72.01
DSN,80,65.86
DSN,81,77.9
DSN,82,99.4
DSN,83,99.91
DSN,84,93.63
AutoBroadMLP(Ours),0,76.3
AutoBroadMLP(Ours),1,81.6
AutoBroadMLP(Ours),2,90.85
AutoBroadMLP(Ours),3,96.66
AutoBroadMLP(Ours),4,100
AutoBroadMLP(Ours),5,90
AutoBroadMLP(Ours),6,96.66
AutoBroadMLP(Ours),7,78.64
AutoBroadMLP(Ours),8,99.49
AutoBroadMLP(Ours),9,100
AutoBroadMLP(Ours),10,100
AutoBroadMLP(Ours),11,80
AutoBroadMLP(Ours),12,73.33
AutoBroadMLP(Ours),13,72.8
AutoBroadMLP(Ours),14,72.82
AutoBroadMLP(Ours),15,100
AutoBroadMLP(Ours),16,77.69
AutoBroadMLP(Ours),17,82.24
AutoBroadMLP(Ours),18,74.1
AutoBroadMLP(Ours),19,81.3
AutoBroadMLP(Ours),20,93
AutoBroadMLP(Ours),21,94.44
AutoBroadMLP(Ours),22,98.83
AutoBroadMLP(Ours),23,73.84
AutoBroadMLP(Ours),24,97.72
AutoBroadMLP(Ours),25,91.42
AutoBroadMLP(Ours),26,91.6
AutoBroadMLP(Ours),27,96.57
AutoBroadMLP(Ours),28,91.21
AutoBroadMLP(Ours),29,80.74
AutoBroadMLP(Ours),30,99.33
AutoBroadMLP(Ours),31,87.61
AutoBroadMLP(Ours),32,92.43
AutoBroadMLP(Ours),33,52.27
AutoBroadMLP(Ours),34,65.62
AutoBroadMLP(Ours),35,42.72
AutoBroadMLP(Ours),36,65.3
AutoBroadMLP(Ours),37,97.47
AutoBroadMLP(Ours),38,88.53
AutoBroadMLP(Ours),39,85.24
AutoBroadMLP(Ours),40,84.93
AutoBroadMLP(Ours),41,96.8
AutoBroadMLP(Ours),42,100
AutoBroadMLP(Ours),43,77.76
AutoBroadMLP(Ours),44,64.28
AutoBroadMLP(Ours),45,87.28
AutoBroadMLP(Ours),46,65.6
AutoBroadMLP(Ours),47,90.49
AutoBroadMLP(Ours),48,95.33
AutoBroadMLP(Ours),49,95.41
AutoBroadMLP(Ours),50,96.66
AutoBroadMLP(Ours),51,96.28
AutoBroadMLP(Ours),52,84.26
AutoBroadMLP(Ours),53,23.99
AutoBroadMLP(Ours),54,100
AutoBroadMLP(Ours),55,87.8
AutoBroadMLP(Ours),56,90.75
AutoBroadMLP(Ours),57,82.44
