µ¥ÀÌÅÍ¼Â,HIVE-COTE2,WEASEL2.0,AutoBroad,Arsenal,TDE,DrCIF,STC,TS-CHIEF,ResNet,InceptionTime,OS-CNN,DSN,Broad CycleMLP
UWaveGestureLibraryY,77.4,78.7,74.17,77.07,78.5,76.54,71.18,78.8,67.01,76.88,75.72,77.1,68.98
UWaveGestureLibraryZ,79.5,76.74,77.41,79.25,78.83,78.11,76.29,79.11,75.01,76.97,76.36,77.98,71.71
Wine,90.7,90.74,94.44,83.33,62.96,79.62,70.37,89.81,74.44,66.67,74.44,80,79.62
WordsSynonyms,76,73.51,69.12,74.29,75.54,69.27,65.98,79.36,62.24,75.55,74.23,72.01,58.93
Worms,74,71.42,68.8,72.72,79.22,76.62,72.72,76.83,79.09,80.52,76.49,65.86,49.35
WormsTwoClass,83.1,80.51,80.5,77.92,79.22,77.92,81.81,78.61,74.68,79.22,65.71,77.9,67.53
syntheticcontrol,100,99.66,100,100,99.33,99.66,99.33,99.9,99.83,99.67,99.93,99.4,98
wafer,100,99.95,99.95,99.82,99.95,99.9,100,99.89,99.86,99.87,99.84,99.91,99.75
yoga,93.3,92.63,87.6,90.53,92.56,87.66,88.06,87.26,87.02,90.57,91.06,93.63,85.23

